timestamp_ms,thread,event,preempt_count
11020418,Flight,END,3
11020421,Vision,PREEMPTED,401
11020428,Flight,START,3
11020428,Flight,END,3
11020429,Vision,PREEMPTED,402
11020433,Vision,PREEMPTED,403
11020438,Flight,START,3
11020438,Flight,END,3
11020441,Vision,PREEMPTED,404
11020448,Flight,START,3
11020448,Flight,END,3
11020448,Vision,PREEMPTED,405
11020452,Vision,PREEMPTED,406
11020458,Flight,START,3
11020458,Flight,END,3
11020460,Vision,PREEMPTED,407
11020464,Vision,PREEMPTED,408
11020468,Flight,START,3
11020468,Flight,END,3
11020471,Vision,PREEMPTED,410
11020478,Flight,START,3
11020478,Flight,END,3
11020479,Vision,PREEMPTED,411
11020483,Vision,PREEMPTED,412
11020488,Flight,START,3
11020488,Flight,END,3
11020491,Vision,PREEMPTED,413
11020498,Flight,START,3
11020498,Flight,END,3
11020499,Vision,PREEMPTED,414
11020502,Vision,PREEMPTED,415
11020508,Flight,START,3
11020508,Flight,END,3
11020510,Vision,PREEMPTED,416
11020514,Vision,PREEMPTED,417
11020518,Flight,START,3
11020518,Flight,END,3
11020522,Vision,PREEMPTED,418
11020528,Flight,START,3
11020528,Flight,END,3
11020529,Vision,PREEMPTED,419
11020533,Vision,PREEMPTED,420
11020538,Flight,START,3
11020538,Flight,END,3
11020541,Vision,PREEMPTED,422
11020548,Flight,START,3
11020548,Flight,END,3
11020549,Vision,PREEMPTED,423
11020553,Vision,PREEMPTED,424
11020558,Flight,START,3
11020558,Flight,END,3
